"ID";"Valor_De_Aluguer";"Critics_Score";"Pedidos_De_Aluguer";"Plataforma_De_Lançamento";"Nome";"Data_Lançamento";"Sinopse";"Unidades_Em_Stock"
1;4.99;"90";50;"PlayStation 4";"The Last of Us Part II";"2020-06-19";"Na sequência do primeiro jogo, Ellie e Joel continuam a lutar pela sobrevivência num mundo pós-apocalíptico infestado por zombies.";"20"
2;3.49;"88";30;"Xbox One";"Gears 5";"2019-09-10";"No papel de Kait Diaz, embarca numa jornada épica para descobrir a origem dos inimigos e revela a verdadeira ameaça para Sera.";"15"
3;2.99;"92";45;"Nintendo Switch";"The Legend of Zelda: Breath of the Wild";"2017-03-03";"Explora um vasto mundo aberto cheio de mistérios e aventuras enquanto tentas salvar a Princesa Zelda e derrotar Ganon.";"10"
4;5.99;"87";40;"PlayStation 5";"Marvel's Spider-Man: Miles Morales";"2020-11-12";"Assume o papel de Miles Morales e protege a cidade de Nova Iorque como o novo Spider-Man.";"5"
5;1.99;"85";20;"PC";"The Witcher 3: Wild Hunt";"2015-05-19";"Entra no mundo de Geralt of Rivia e embarca numa aventura épica de caça a monstros e descoberta de segredos.";"25"
6;4.49;"89";35;"Xbox Series X";"Halo Infinite";"2021-12-08";"Retorna ao universo de Halo e enfrenta um novo desafio como o Master Chief contra os forças do Covenant.";"12"
7;3.99;"93";55;"PlayStation 5";"Ratchet & Clank: Rift Apart";"2021-06-11";"Viaja por diferentes dimensões com Ratchet e Clank, explorando mundos incríveis e enfrentando inimigos perigosos.";"18"
8;2.49;"86";25;"Nintendo Switch";"Super Mario Odyssey";"2017-10-27";"Acompanha Mario numa aventura por vários reinos para salvar a Princesa Peach das garras do maligno Bowser.";"7"
9;4.99;"90";40;"PlayStation 4";"God of War";"2018-04-20";"Segue a jornada de Kratos, o deus da guerra, num mundo nórdico brutal enquanto enfrenta criaturas mitológicas e descobre segredos familiares.";"10"
10;3.29;"88";30;"Xbox One";"Red Dead Redemption 2";"2018-10-26";"Vive a vida de um fora da lei no Velho Oeste e embarca numa história épica de caça a recompensas e sobrevivência.";"20"
11;2.99;"91";35;"PC";"Cyberpunk 2077";"2020-12-10";"Explora a cidade futurista de Night City neste RPG de ação, onde escolhas e consequências moldam o teu destino.";"15"
12;4.99;"87";30;"Nintendo Switch";"Animal Crossing: New Horizons";"2020-03-20";"Cria a tua própria ilha paradisíaca, interage com os teus vizinhos animais e desfruta da tranquilidade desta experiência única.";"8"
13;1.99;"84";15;"PlayStation 4";"Uncharted 4: A Thief's End";"2016-05-10";"Acompanha Nathan Drake na sua última aventura, repleta de tesouros perdidos, tiroteios emocionantes e segredos sombrios.";"5"
14;5.99;"93";50;"Xbox Series X";"Fable";"2022-10-31";"Volta a Albion nesta reimaginação do clássico jogo de RPG, onde as tuas escolhas moldam o mundo e a tua jornada heróica.";"10"
15;2.99;"89";25;"PC";"Fallout 4";"2015-11-10";"Explora a devastada Wasteland de Boston neste RPG de ação pós-apocalíptico, onde cada decisão tem consequências duradouras.";"10"
16;6.99;"70";1;"Nintendo GameCube";"Sonic Heroes";"2003-12-30";"Rail Canyon Sucks";"100"
